# Name, t0, tobsJ, tobsH, tobsJmag, tobsHmag, alpha1, alpha2, tbreak, specindex,RA,Dec, z,references,Comments
#--,MJD,hours,hours,mag,mag,--,--,days,--,deg,deg,--,--,
GRB050904A,53617.0776,3.07,9.79,17.36,18.17,-0.9,-1.9,2.1,-1.25,13.71164,14.08595,6.39,2007ApJ...665..102B,
GRB080913A,54722.2826,0.1016,0.1016,19.96,19.64,-1.03,-1.03,1,-1.12,65.728,-24.1295,6.695,,
GRB090423A,54944.33008102,2.88,,20.1,,0,-1.1,0.115740740740741,-1.2,148.888749,18.149194,8.23,2010AIPC.1279..469Y;2009GCN..9218....1Y,
GRB090429B,54950.2292,2.9475,3.27361111111111,22.8,21.41,0,-0.53,0.0231481481481481,-0.51,210.66666,32.17055,9.4,,
GRB090709A,55021.31844907,0.106527777777778,0.0333333333333333,18.43,15.52,-0.9,-0.9,1,-3.8,289.92766,60.727583,8.5,2010AJ....140..224C,
GRB100205A,55232.17966435,5.48,4.73,24.29,23.63,-0.43,-0.43,1,-0.51,141.3875,31.74027,11,2019MNRAS.488..902C,"No host, problably located closer z<8"
GRB100905A,55444.63071759,,,,,,,,,31.55049,14.92997,7.9,,
GRB120521C,56068.97369213,7.632,8.544,20.4,19.8,0.83,-1.38,0.34,-0.34,214.2833,42.143055,6.03,2014ApJ...781....1L,
GRB120923A,56193.21951389,1.372,3.241,21.9,21.4,-0.25,-2,1.45833333333333,-0.39,303.795833333333,6.22027777777778,7.8,2018ApJ...865..107T,
GRB131202A,56628.6334375,,,,,,,,,344.0539,-21.6626666666667,7.5,,
GRB140515A,56792.38375,15.6,14.54,20.63,20.61,-0.89,-0.89,1,-0.33,186.063958,15.10455,6.32,2015A&A...581A..86M,
GRB210905A,59462.0088,0.35736,0.13008,17.12,16.15,-0.69,-0.94,0.99,-0.6,309.0481,-44.43958,6.318,2022A&A...665A.125R,
